Year, Month,Monthly Anomaly, Monthly Unc.,  Annual Anomaly, Annual Unc,Five-Year Anomaly, Five-Year Unc., Ten-Year Anomaly, Ten-Year Unc.,  Twenty-Year Anomaly, Twenty-year Unc.
1850,1,-0.801,0.482,      0,  0,   0,  0,     0,  0,     0,  0
1850,2,-0.102,0.592,      0,  0,   0,  0,     0,  0,     0,  0
1850,3,-0.119,0.819,      0,  0,   0,  0,     0,  0,     0,  0
1850,4,-0.485,0.575,      0,  0,   0,  0,     0,  0,     0,  0
1850,5,-0.351,0.549,      0,  0,   0,  0,     0,  0,     0,  0
1850,6,-0.528,0.448,-0.326,0.189,   0,  0,     0,  0,     0,  0
1850,7,0.036,0.457,-0.27,0.186,   0,  0,     0,  0,     0,  0
1850,8,-0.276,0.369,-0.283,0.143,   0,  0,     0,  0,     0,  0
1850,9,-0.328,0.33,-0.301,0.155,   0,  0,     0,  0,     0,  0
1850,10,-0.325,0.623,-0.296,0.148,   0,  0,     0,  0,     0,  0
1850,11,-0.219,0.532,-0.276,0.122,   0,  0,     0,  0,     0,  0
1850,12,-0.417,0.462,-0.25,0.132,   0,  0,     0,  0,     0,  0
1851,1,-0.122,0.428,-0.264,0.141,   0,  0,     0,  0,     0,  0
1851,2,-0.265,0.472,-0.262,0.156,   0,  0,     0,  0,     0,  0
1851,3,-0.329,0.42,-0.27,0.154,   0,  0,     0,  0,     0,  0
1851,4,-0.431,0.335,-0.232,0.152,   0,  0,     0,  0,     0,  0
1851,5,-0.11,0.37,-0.241,0.164,   0,  0,     0,  0,     0,  0
1851,6,-0.216,0.51,-0.215,0.186,   0,  0,     0,  0,     0,  0
1851,7,-0.13,0.42,-0.229,0.202,   0,  0,     0,  0,     0,  0
1851,8,-0.247,0.327,-0.258,0.185,   0,  0,     0,  0,     0,  0
1851,9,-0.435,0.341,-0.28,0.196,   0,  0,     0,  0,     0,  0
1851,10,0.131,0.409,-0.299,0.217,   0,  0,     0,  0,     0,  0
1851,11,-0.327,0.568,-0.307,0.207,   0,  0,     0,  0,     0,  0
1851,12,-0.101,0.468,-0.285,0.189,   0,  0,     0,  0,     0,  0
1852,1,-0.29,0.491,-0.27,0.197,   0,  0,     0,  0,     0,  0
1852,2,-0.606,0.378,-0.25,0.201,   0,  0,     0,  0,     0,  0
1852,3,-0.599,0.417,-0.235,0.201,   0,  0,     0,  0,     0,  0
1852,4,-0.659,0.571,-0.26,0.195,   0,  0,     0,  0,     0,  0
1852,5,-0.199,0.245,-0.257,0.217,   0,  0,     0,  0,     0,  0
1852,6,0.039,0.23,-0.253,0.234,-0.217,0.18,     0,  0,     0,  0
1852,7,0.059,0.638,-0.26,0.243,-0.21,0.181,     0,  0,     0,  0
1852,8,-0.016,0.44,-0.227,0.231,-0.21,0.176,     0,  0,     0,  0
1852,9,-0.251,0.292,-0.174,0.217,-0.205,0.174,     0,  0,     0,  0
1852,10,-0.17,0.349,-0.119,0.212,-0.2,0.168,     0,  0,     0,  0
1852,11,-0.287,0.521,-0.111,0.221,-0.195,0.169,     0,  0,     0,  0
1852,12,-0.063,0.399,-0.116,0.228,-0.188,0.166,     0,  0,     0,  0
1853,1,-0.366,0.347,-0.124,0.23,-0.186,0.166,     0,  0,     0,  0
1853,2,-0.208,0.41,-0.145,0.233,-0.186,0.169,     0,  0,     0,  0
1853,3,0.029,0.336,-0.148,0.228,-0.187,0.166,     0,  0,     0,  0
1853,4,0.002,0.648,-0.158,0.22,-0.17,0.167,     0,  0,     0,  0
1853,5,-0.096,0.467,-0.188,0.216,-0.162,0.172,     0,  0,     0,  0
1853,6,-0.027,0.367,-0.199,0.225,-0.159,0.18,     0,  0,     0,  0
1853,7,-0.041,0.621,-0.186,0.214,-0.156,0.18,     0,  0,     0,  0
1853,8,-0.26,0.31,-0.19,0.226,-0.154,0.18,     0,  0,     0,  0
1853,9,-0.287,0.293,-0.21,0.213,-0.143,0.181,     0,  0,     0,  0
1853,10,-0.29,0.275,-0.205,0.211,-0.13,0.187,     0,  0,     0,  0
1853,11,-0.647,0.368,-0.188,0.195,-0.128,0.19,     0,  0,     0,  0
1853,12,-0.193,0.476,-0.219,0.202,-0.117,0.192,     0,  0,     0,  0
1854,1,-0.22,0.335,-0.212,0.207,-0.117,0.19,     0,  0,     0,  0
1854,2,-0.248,0.314,-0.191,0.206,-0.121,0.192,     0,  0,     0,  0
1854,3,-0.214,0.493,-0.184,0.203,-0.123,0.193,     0,  0,     0,  0
1854,4,0.065,0.444,-0.155,0.23,-0.131,0.194,     0,  0,     0,  0
1854,5,0.106,0.43,-0.108,0.215,-0.129,0.199,     0,  0,     0,  0
1854,6,-0.396,0.463,-0.094,0.204,-0.131,0.2,     0,  0,     0,  0
1854,7,0.034,0.595,-0.107,0.197,-0.134,0.2,     0,  0,     0,  0
1854,8,-0.004,0.279,-0.093,0.185,-0.131,0.2,     0,  0,     0,  0
1854,9,-0.196,0.206,-0.059,0.171,-0.127,0.197,     0,  0,     0,  0
1854,10,0.056,0.569,-0.079,0.152,-0.125,0.192,     0,  0,     0,  0
1854,11,-0.091,0.387,-0.096,0.161,-0.13,0.192,     0,  0,     0,  0
1854,12,-0.015,0.561,-0.069,0.154,-0.136,0.194,-0.207,0.143,     0,  0
1855,1,-0.377,0.258,-0.062,0.15,-0.143,0.191,-0.204,0.145,     0,  0
1855,2,-0.088,0.296,-0.083,0.158,-0.153,0.19,-0.205,0.141,     0,  0
1855,3,0.199,0.586,-0.098,0.158,-0.158,0.19,-0.211,0.139,     0,  0
1855,4,-0.175,0.33,-0.047,0.156,-0.161,0.183,-0.205,0.137,     0,  0
1855,5,-0.098,0.601,-0.013,0.177,-0.158,0.181,-0.202,0.136,     0,  0
1855,6,-0.075,0.248,-0.033,0.216,-0.153,0.173,-0.199,0.135,     0,  0
1855,7,0.12,0.393,0,0.228,-0.15,0.171,-0.201,0.134,     0,  0
1855,8,-0.255,0.438,-0.001,0.225,-0.149,0.169,-0.202,0.135,     0,  0
